IDArt;CodProveedor;Articulo;PrecioCosto;PorcIVA;IDProveedor;IDRubro;IDMoneda;MargenMin;MargenInt;MargenMay;UniBulto;PorcDto;PorcRec;PrecioFlete;PVMin;PVInt;PVMay;CodBarra;Nota
002545;002545;PASTILLA CLIGHT FRAMBUESA 26G;667.0000;0.0;5;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;1000.0000;800.0000;1000.0000;;Rubro: ALMACEN
002546;002546;PASTILLA CLIGHT NARANJA 26G;667.0000;0.0;5;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;1000.0000;800.0000;1000.0000;7622202288197;Rubro: ALMACEN
002547;002547;GALLETAS OREO FRUTILLA 118G;1655.0000;0.0;5;3;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;2700.0000;1986.0000;2700.0000;7622202049057;Rubro: ALMACEN
002548;002548;CHICLE BUBBALOO5G;84.0000;0.0;5;5;1;1.4;0.2;0.2;1;0.0;0.0;0.0000;200.0000;101.0000;200.0000;77982346;Rubro: GOLOSINAS
002549;002549;CHICLE BUBBALOO MENTA 5G;84.0000;0.0;5;5;1;1.4;0.2;0.2;1;0.0;0.0;0.0000;200.0000;101.0000;200.0000;;Rubro: GOLOSINAS
002550;002550;CHICLE BUBBALOO UVA 5G;84.0000;0.0;5;5;1;1.4;0.2;0.2;1;0.0;0.0;0.0000;200.0000;101.0000;200.0000;77982377;Rubro: GOLOSINAS
002551;002551;POLVORITA FRUTILLA 81G;506.0000;0.0;10;3;1;1.0;0.2;0.2;1;0.0;0.0;0.0000;1000.0000;607.0000;1000.0000;7790040139176;Rubro: ALMACEN
002552;002552;SALADIX CROSS PIZZA 67G;797.0000;0.0;10;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;1200.0000;956.0000;1200.0000;7790040124905;Rubro: ALMACEN
002553;002553;SALADIX JAMON Y QUESO CAJA 80G;1214.0000;0.0;10;3;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;2100.0000;1457.0000;2100.0000;7790040374607;Rubro: ALMACEN
002554;002554;SALADIX PAPAS CREMA Y CEBOLLA 72G;1718.0000;0.0;10;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;2600.0000;2062.0000;2600.0000;7790040153141;Rubro: ALMACEN
002555;002555;SALADIX CALABRESA 40G;521.0000;0.0;10;3;1;0.9;0.2;0.2;1;0.0;0.0;0.0000;1000.0000;625.0000;1000.0000;7790040152038;Rubro: ALMACEN
002556;002556;SALADIX PIZZA 40G;521.0000;0.0;10;3;1;0.9;0.2;0.2;1;0.0;0.0;0.0000;1000.0000;625.0000;1000.0000;7790040152021;Rubro: ALMACEN
002557;002557;SALADIX CROSS PIZZA 135G;1576.0000;0.0;10;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;2400.0000;1891.0000;2400.0000;7790040124912;Rubro: ALMACEN
002558;002558;SALADIX PAPAS CHEDDAR 72G;1718.0000;0.0;10;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;2600.0000;2062.0000;2600.0000;7790040153158;Rubro: ALMACEN
002559;002559;SALADIX JAMON 40G;521.0000;0.0;10;3;1;0.9;0.2;0.2;1;0.0;0.0;0.0000;1000.0000;625.0000;1000.0000;7790040152014;Rubro: ALMACEN
002560;002560;SALADIX PAPAS ORIGINAL 130G;2577.0000;0.0;10;3;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;4000.0000;3092.0000;4000.0000;7790040153172;Rubro: ALMACEN
002561;002561;REX 225G;2005.0000;0.0;10;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;3000.0000;2406.0000;3000.0000;7790040144125;Rubro: ALMACEN
002562;002562;SALADIX PAPAS ORIGINAL 80G;1718.0000;0.0;10;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;2600.0000;2062.0000;2600.0000;7790040153165;Rubro: ALMACEN
002563;002563;SALADIX QUESITOS 50G;859.0000;0.0;10;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;1300.0000;1031.0000;1300.0000;7790040153257;Rubro: ALMACEN
002564;002564;SALADIX QUESITOS 95G;1718.0000;0.0;10;3;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;2600.0000;2062.0000;2600.0000;7790040153240;Rubro: ALMACEN
