;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7793350000440;POMADA LIQUIDA;;;;WASHINGTON;;2.500,00;1;;2.500,00
;7793350000419;POMADA LIQUIDA;;;;WASHINGTON;;3.000,00;3;;9.000,00
;77999986;POMADA P/ ZAPATO;;;;COLIBRI;;2.000,00;3;;6.000,00
;77999962;POMADA P/ ZAPATO;;;;COLIBRI;;2.000,00;2;;4.000,00
;7793350102304;POMADA P/ZAPATO;;;;WASHINGTON;;2.100,00;2;;4.200,00
;7790790120332;POROTOS;;;;INCA;;650,00;1;;650,00
;7798094010588;POROTOS ALUBIA 400 GS;;;;LEGUMPACK;;1.150,00;5;;5.750,00
;7792350067095;POROTOS COLORADOS;;;;INALPA;;700,00;3;;2.100,00
;7792350067088;POROTOS EN LATA;;;;INALPA;;412,00;9;;3.708,00
;7798094010687;POROTOS PALLARES;;;;LEGUMPACK;;2.600,00;2;;5.200,00
;0023;PORTA SUBE;;;;;;300,00;5;;1.500,00
;7790787087204;POSTRE C/ROCKLETS;;;;ILOLAY;;2.000,00;23;;46.000,00
;7791337008519;POSTRE CHOCOLATE;;;;LA SERENISIMA;;650,00;2;;1.300,00
;7798001562704;POSTRE CHOCOLATE;;;;CREMIGAL;;450,00;3;;1.350,00
;7790580146856;POSTRE CHOCOLINAS 110 GS;;;;COFLER;;2.500,00;20;;50.000,00
;7790580142513;POSTRE CHOCOLINAS 110 GS;;;;ARCOR;;2.000,00;47;;94.000,00
;7790580141394;POSTRE COFLER BLOCK 110 GS;;;;ARCOR;;3.000,00;48;;144.000,0
;;;;;;;;;;;0
;97622201705169;POSTRE DE CHOCOLATE;;;;ROYAL;;900,00;3;;2.700,00
;7622300871949;POSTRE DE DULCE DE LECHE;;;;ROYAL;;900,00;1;;900,00
;7791337008502;POSTRE DE VAINILLA;;;;LA SERENISIMA;;650,00;3;;1.950,00
;78954731;POSTRE DUCREM;;;;DUCREM;;100,00;36;;3.600,00
;7790580121877;POSTRE HELADO AGUILA;;;;ARCOR;;7.700,00;2;;15.400,00
;7790580121907;POSTRE HELADO BON O BON;;;;ARCOR;;7.700,00;1;;7.700,00
;7790580121891;POSTRE HELADO CHOCOLINAS;;;;ARCOR;;7.700,00;2;;15.400,00
;7790580121860;POSTRE HELADO TOFI;;;;ARCOR;;7.700,00;1;;7.700,00
;7798001562681;POSTRE VAINILLA;;;;CREMIGAL;;450,00;1;;450,00
;7790895641183;POWERADE 500 ML;;;;COCA COLA;;1.500,00;3;;4.500,00
;7790895648687;POWERADE 500 ML;;;;COCA COLA;;1.500,00;10;;15.000,00
;7790895006104;POWERADE 995 ML;;;;COCA COLA;;1.600,00;4;;6.400,00
;7794122013071;POXI-RAN;;;;;;3.100,00;6;;18.600,00
;7794122001870;POXILINA;;;;;;3.670,00;1;;3.670,00
;7798194560037;PRESERVATIVOS;;;;PLAYBOY;;1.500,00;6;;9.000,00
;7798140256977;PRESERVATIVOS M;;;;;;1.500,00;2;;3.000,00
;7798140257011;PRESERVATIVOS M;;;;;;1.500,00;3;;4.500,00
;;;;;;Pág. 29 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7798140256991;PRESERVATIVOS M;;;;;;1.500,00;4;;6.000,00
;7798140257028;PRESERVATIVOS M;;;;;;1.500,00;3;;4.500,00
;7790580138738;PRESTO PRONTA;;;;ARCOR;;1.061,00;1;;1.061,00
;7500435198769;PRESTOBARBA AZUL;;;;GILLETTE;;1.200,00;6;;7.200,00
;7500435154437;PRESTOBARBA AZUL Y VERDE;;;;GILLETTE;;1.150,00;11;;12.650,00
;7500435239509;PRESTOBARBA ROSA;;;;GILLETTE;;1.654,00;1;;1.654,00
;7791913000623;PRITTY 500 ML  ;;;;PRITTY;;800,00;6;;4.800,00
;7790940235077;PROTECTORES DIARIOS;;;;DONCELLA;;602,00;17;;10.234,00
;7790940233240;PROTECTORES DIARIOS;;;;DONCELLA;;520,00;8;;4.160,00
;7790770602285;PROTECTORES DIARIOS;;;;CALIPSO;;700,00;6;;4.200,00
;7790770602964;PROTECTORES DIARIOS;;;;NOSOTRAS;;1.000,00;10;;10.000,00
;7790940235084;PROTECTORES DIARIOS ;;;;DONCELLA;;750,00;5;;3.750,00
;7790940233004;PROTECTORES DIARIOS TANGA;;;;DONCELLA;;850,00;5;;4.250,00
;7798094010083;PROVENZAL;;;;AROMAS DEL;;400,00;8;;3.200,00
;;;;;;MONTE
;7790580129279;PUIRE DE TOMATE 210 GS;;;;ARCOR;;550,00;3;;1.650,00
;6904013133233;PULSERAS CARACOL;;;;;;150,00;10;;1.500,00
;7790199603177;PURE DE PAPAS 125 GS;;;;MORIXE;;1.000,00;6;;6.000,00
;7790036006727;PURE DE TOMATE 113GS;;;;DE LA HUERTA;;250,00;4;;1.000,00
;7798138553408;PURE DE TOMATE 340 GS;;;;MOLTO;;550,00;13;;7.150,00
;7797470008553;PURE DE TOMATE 340 GS;;;;MAROLIO;;692,00;3;;2.076,00
;7793360000157;PURE DE TOMATE 520 GS;;;;SALSATI;;505,00;4;;2.020,00
